id,max_head,min_head,max_body,min_body,entropy,depth_vector_1,depth_vector_2,depth_vector_3,depth_vector_4,area_head,area_body,local_binary
6.0,1783.0,1671.0,1752.0,1442.0,0.1116389156647503,13365.0,58.0,3762.0,713.0,0.0,4241.5,910.0
6.0,1783.0,1671.0,1752.0,1442.0,0.1116389156647503,13365.0,58.0,3762.0,713.0,0.0,4241.5,910.0
6.0,1783.0,1671.0,1752.0,1442.0,0.1116389156647503,13365.0,58.0,3762.0,713.0,0.0,4241.5,910.0
6.0,1783.0,1671.0,1752.0,1442.0,0.1116389156647503,13365.0,58.0,3762.0,713.0,0.0,4241.5,910.0
6.0,1783.0,1671.0,1752.0,1442.0,0.1116389156647503,13365.0,58.0,3762.0,713.0,0.0,4241.5,910.0
6.0,1744.0,1579.0,1703.0,995.0,0.1105337869270425,11290.0,969.0,0.0,1282.0,0.0,0.0,668.2307692307693
7.0,1635.0,1435.0,1434.0,1169.0,0.05629949903046978,5523.0,0.0,4181.0,853.0,70.5,4555.0,552.0
7.0,1635.0,1435.0,1434.0,1169.0,0.05629949903046978,5523.0,0.0,4181.0,853.0,70.5,4555.0,552.0
7.0,1635.0,1435.0,1434.0,1169.0,0.05629949903046978,5523.0,0.0,4181.0,853.0,70.5,4555.0,552.0
7.0,1635.0,1435.0,1434.0,1169.0,0.05629949903046978,5523.0,0.0,4181.0,853.0,70.5,4555.0,552.0
3.0,1792.0,1592.0,1591.0,1486.0,0.06528740427152357,11342.0,173.0,5732.0,453.0,2.0,0.0,1065.4615384615386
3.0,1792.0,1592.0,1591.0,1486.0,0.06528740427152357,11342.0,173.0,5732.0,453.0,2.0,0.0,1065.4615384615386
3.0,1792.0,1592.0,1591.0,1486.0,0.06528740427152357,11342.0,173.0,5732.0,453.0,2.0,0.0,1065.4615384615386
3.0,1792.0,1592.0,1591.0,1486.0,0.06528740427152357,11342.0,173.0,5732.0,453.0,2.0,0.0,1065.4615384615386
3.0,1792.0,1592.0,1591.0,1486.0,0.06528740427152357,11342.0,173.0,5732.0,453.0,2.0,0.0,1065.4615384615386
3.0,1792.0,1592.0,1591.0,1486.0,0.06528740427152357,11342.0,173.0,5732.0,453.0,2.0,0.0,1065.4615384615386
3.0,1799.0,1612.0,1545.0,1049.0,0.12431942876687455,9253.0,1056.0,341.0,504.0,42.5,31.5,660.0
3.0,1805.0,1668.0,1559.0,1060.0,0.09641827987037375,9847.0,348.0,581.0,1195.0,10023.5,0.0,741.3846153846154
3.0,1792.0,1652.0,1580.0,1358.0,0.08710556605705108,11920.0,98.0,1390.0,2499.0,11822.5,4544.0,931.3461538461538
3.0,1792.0,1652.0,1580.0,1358.0,0.08710556605705108,11920.0,98.0,1390.0,2499.0,11822.5,4544.0,931.3461538461538
3.0,1792.0,1652.0,1580.0,1358.0,0.08710556605705108,11920.0,98.0,1390.0,2499.0,11822.5,4544.0,931.3461538461538
3.0,1762.0,1592.0,1552.0,1012.0,0.11001154711972781,9783.0,539.0,1189.0,2759.0,0.5,3934.0,807.6923076923077
3.0,1767.0,1617.0,1558.0,1019.0,0.10238977107935042,8747.0,678.0,1926.0,3984.0,1.0,6819.0,890.2307692307693
3.0,1783.0,1673.0,1567.0,1426.0,0.08014724202560768,11214.0,36.0,1694.0,2806.0,1.0,4222.5,812.6153846153846
3.0,1783.0,1673.0,1567.0,1426.0,0.08014724202560768,11214.0,36.0,1694.0,2806.0,1.0,4222.5,812.6153846153846
3.0,1783.0,1673.0,1567.0,1426.0,0.08014724202560768,11214.0,36.0,1694.0,2806.0,1.0,4222.5,812.6153846153846
3.0,1760.0,1570.0,1718.0,1011.0,0.1246628628875945,7146.0,1150.0,391.0,1054.0,1.0,1.0,659.0769230769231
6.0,1791.0,1691.0,1529.0,1041.0,0.06045058349485973,8673.0,20.0,366.0,1290.0,0.0,1984.0,505.0
6.0,1791.0,1691.0,1529.0,1041.0,0.06045058349485973,8673.0,20.0,366.0,1290.0,0.0,1984.0,505.0
6.0,1805.0,1691.0,1526.0,1194.0,0.12841243181728618,13656.0,116.0,0.0,468.0,0.0,588.0,621.9230769230769
6.0,1808.0,1677.0,1528.0,1194.0,0.1388260437705508,14362.0,296.0,0.0,1800.0,0.0,1345.0,906.0
6.0,1727.0,1527.0,1526.0,1005.0,0.06399814959273913,8316.0,1905.0,2820.0,95.0,10892.5,562.0,775.0
6.0,1778.0,1650.0,1747.0,1102.0,0.10849040642810723,10494.0,1954.0,0.0,1397.0,0.0,3.0,727.0769230769231
6.0,1793.0,1661.0,1526.0,1320.0,0.09606075028846459,11729.0,1509.0,32.0,1991.0,2.0,0.0,804.8076923076923
6.0,1815.0,1687.0,1529.0,1447.0,0.16927690041392834,18322.0,1105.0,0.0,1571.0,19205.0,41.0,960.0
6.0,1815.0,1687.0,1529.0,1447.0,0.16927690041392834,18322.0,1105.0,0.0,1571.0,19205.0,41.0,960.0
6.0,1815.0,1687.0,1529.0,1447.0,0.16927690041392834,18322.0,1105.0,0.0,1571.0,19205.0,41.0,960.0
6.0,1815.0,1687.0,1529.0,1447.0,0.16927690041392834,18322.0,1105.0,0.0,1571.0,19205.0,41.0,960.0
6.0,1815.0,1687.0,1529.0,1447.0,0.16927690041392834,18322.0,1105.0,0.0,1571.0,19205.0,41.0,960.0
6.0,1815.0,1687.0,1529.0,1447.0,0.16927690041392834,18322.0,1105.0,0.0,1571.0,19205.0,41.0,960.0
6.0,1815.0,1687.0,1529.0,1447.0,0.16927690041392834,18322.0,1105.0,0.0,1571.0,19205.0,41.0,960.0
6.0,1815.0,1687.0,1529.0,1447.0,0.16927690041392834,18322.0,1105.0,0.0,1571.0,19205.0,41.0,960.0
6.0,1815.0,1687.0,1529.0,1447.0,0.16927690041392834,18322.0,1105.0,0.0,1571.0,19205.0,41.0,960.0
6.0,1815.0,1687.0,1529.0,1447.0,0.16927690041392834,18322.0,1105.0,0.0,1571.0,19205.0,41.0,960.0
6.0,1815.0,1687.0,1529.0,1447.0,0.16927690041392834,18322.0,1105.0,0.0,1571.0,19205.0,41.0,960.0
2.0,1801.0,1639.0,1483.0,1408.0,0.10330889462997883,11532.0,210.0,0.0,522.0,11568.5,1028.0,692.3076923076923
2.0,1801.0,1639.0,1483.0,1408.0,0.10330889462997883,11532.0,210.0,0.0,522.0,11568.5,1028.0,692.3076923076923
2.0,1801.0,1639.0,1483.0,1408.0,0.10330889462997883,11532.0,210.0,0.0,522.0,11568.5,1028.0,692.3076923076923
2.0,1801.0,1639.0,1483.0,1408.0,0.10330889462997883,11532.0,210.0,0.0,522.0,11568.5,1028.0,692.3076923076923
2.0,1801.0,1639.0,1483.0,1408.0,0.10330889462997883,11532.0,210.0,0.0,522.0,11568.5,1028.0,692.3076923076923
